'order_no','comment','ctry_code','currency','date','dealerpo','order_type','region','truck_class','apac_serial_model','bill_to_billto_code'
H07813,'',AU,AUD,2023-02-22,STOCKMAR23-1,R,P,5,,
H07814,'',AU,AUD,2023-02-22,STOCKMAR23-2,R,P,5,,
H07815,'',AU,AUD,2023-02-22,STOCKMAR23-3,R,P,5,,
H07816,'',AU,AUD,2023-02-22,STOCKMAR23-4,R,P,5,,
F80206,'',TH,USD,2022-12-01,TH2022/8401,R,A,3,P2.0S,6065
F80207,'',TH,USD,2022-12-01,TH2022/8402,R,A,3,P2.0S,6065
F80208,'',TH,USD,2022-12-01,TH2022/8403,R,A,3,P3.0S,6065
F80209,'',TH,USD,2022-12-01,TH2022/8404,R,A,2,R1.6,6065
F80210,'',TH,USD,2022-12-01,TH2022/8405,R,A,3,S1.5UTS,6065
F80211,'',TH,USD,2022-12-01,TH2022/8406,R,A,3,S1.5UTS,6065
F80480,'',TH,USD,2022-12-03,TH2022/8407,R,A,1,J1.5UT,6065
F80481,'',TH,USD,2022-12-03,TH2022/8408,R,A,1,J1.5UT,6065
F80482,'',TH,USD,2022-12-03,TH2022/8409,R,A,1,J2.5UT,6065
F80483,'',TH,USD,2022-12-03,TH2022/8410,R,A,1,J2.5UT,6065
F80484,'',TH,USD,2022-12-03,TH2022/8411,R,A,1,J2.5UT,6065
F80485,'',TH,USD,2022-12-03,TH2022/8412,R,A,1,J2.5UT,6065
F80486,'',TH,USD,2022-12-03,TH2022/8413,R,A,1,J2.5UT,6065
F80487,'',TH,USD,2022-12-03,TH2022/8415,R,A,1,J2.5UT,6065
F80488,'',TH,USD,2022-12-03,TH2022/8416,R,A,1,J2.5UT,6065
F80489,'',TH,USD,2022-12-03,TH2022/8417,R,A,1,J3.0UT,6065
F80490,'',TH,USD,2022-12-03,TH2022/8418,R,A,1,J3.0UT,6065
F80491,'',TH,USD,2022-12-03,TH2022/8419,R,A,1,J3.0UT,6065
F80492,'',TH,USD,2022-12-03,TH2022/8420,R,A,1,J3.0UT,6065
F80497,'',VN,USD,2022-12-04,Y-U-04422,R,A,1,FB25RZ,17005
F80582,'',TH,USD,2022-12-05,'2022/8414',R,A,1,J2.5UT,6065
F80723,'',TH,USD,2022-12-05,ID2022/1598,R,A,2,,1255
F80587,'',TH,USD,2022-12-05,TH2022/8421,R,A,5,H4.0UT,6065
F81403,'',VN,USD,2022-12-06,Y-U-04522,R,A,2,MR16 961,17005
F81779,'',VN,USD,2022-12-09,Y-U-04622-1,R,A,1,FB25RZ,17005
F81780,'',VN,USD,2022-12-09,Y-U-04622-2,R,A,1,FB25RZ,17005
F82132,'',TW,USD,2022-12-11,HY-22H021,R,A,5,,81265
F82664,'',TW,USD,2022-12-13,YA-22Y159,R,A,2,FBR20SZ,810265
F82665,'',TW,USD,2022-12-13,YA-22Y160,R,A,2,FBR20SZ,810265
F82666,'',TW,USD,2022-12-13,YA-22Y161,R,A,2,FBR20SZ,810265
F82866,'',IN,USD,2022-12-14,'1200004003',R,A,2,MR25,
F86152,'',SG,USD,2022-12-21,Pilot Order 1,R,A,3,P3.0S,
F86153,'',SG,USD,2022-12-21,Pilot Order 2,R,A,3,P2.0S,
F87497,'',KR,USD,2022-12-25,'22122YKT1226',R,A,2,MTC13,816405
F87498,'',KR,USD,2022-12-25,'22122YKT1226',R,A,2,MTC13,816405
F87593,'',IN,USD,2022-12-27,EMLT/22-23/I00 4,R,A,3,MPC15,
F87594,'',IN,USD,2022-12-27,EMLT/22-23/I00 4-02,R,A,3,MPC15,
F87595,'',IN,USD,2022-12-27,EMLT/22-23/I00 4-03,R,A,3,MPC15,
F87596,'',IN,USD,2022-12-27,EMLT/22-23/I00 4-04,R,A,3,MPC15,
F87597,'',IN,USD,2022-12-27,EMLT/22-23/I00 4-05,R,A,3,MPC15,
F87598,'',IN,USD,2022-12-27,EMLT/22-23/I00 4-06,R,A,3,MPC15,
F87599,'',IN,USD,2022-12-27,EMLT/22-23/I00 4-07,R,A,3,MPC15,
F92391,'',AU,AUD,2023-01-10,'666',R,P,3,P2.0UTE,
F56320,'',TW,USD,2022-09-06,YA-22Y152,R,A,1,ERP35VL,810265
F56321,'',TW,USD,2022-09-06,YA-22Y153,R,A,1,ERP35VL,810265
F56330,'',PH,USD,2022-09-07,TRK-2093-22,R,A,2,FBR13SZ,808065
F56647,'',IN,USD,2022-09-08,'1200003854',R,A,3,MSL15XUX,
F56648,'',IN,USD,2022-09-08,'1200003854/B',R,A,3,MSL15XUX,
F56657,'',IN,USD,2022-09-08,'1200003855',R,A,1,ERP30UX,
F56659,'',IN,USD,2022-09-08,'1200003855/B',R,A,1,ERP30UX,
F56490,'',VN,USD,2022-09-08,'2522ST-MICHYG',R,A,2,N35ZDR3,16315
F56892,'',IN,USD,2022-09-09,'1200003859',R,A,1,ERP20UX,
F56893,'',IN,USD,2022-09-09,'1200003859/B',R,A,1,ERP20UX,
F56894,'',IN,USD,2022-09-09,'1200003859/C',R,A,1,ERP20UX,
F56895,'',IN,USD,2022-09-09,'1200003859/D',R,A,1,ERP20UX,
F56896,'',IN,USD,2022-09-09,'1200003859/E',R,A,1,ERP20UX,
F56897,'',IN,USD,2022-09-09,'1200003859/F',R,A,1,ERP20UX,
F56898,'',IN,USD,2022-09-09,'1200003859/G',R,A,1,ERP20UX,
F56899,'',IN,USD,2022-09-09,'1200003859/H',R,A,1,ERP20UX,
F56900,'',IN,USD,2022-09-09,'1200003859/I',R,A,1,ERP20UX,
F56901,'',IN,USD,2022-09-09,'1200003859/J',R,A,1,ERP20UX,
F56885,'',IN,USD,2022-09-09,'1200003860',R,A,3,MP20XUX,
F56886,'',IN,USD,2022-09-09,'1200003860/B',R,A,3,MP20XUX,
F56887,'',IN,USD,2022-09-09,'1200003860/C',R,A,3,MP20XUX,
F56888,'',IN,USD,2022-09-09,'1200003860/D',R,A,3,MP20XUX,
F56889,'',IN,USD,2022-09-09,'1200003860/E',R,A,3,MP20XUX,
F56890,'',IN,USD,2022-09-09,'1200003860/F',R,A,3,MP20XUX,
F57118,'',TH,USD,2022-09-12,ID2022/1525,R,A,1,J2.5UT,1255
F57120,'',TH,USD,2022-09-12,ID2022/1526,R,A,1,J2.5UT,1255
F57121,'',TH,USD,2022-09-12,ID2022/1527,R,A,1,J2.5UT,1255
F57122,'',TH,USD,2022-09-12,ID2022/1528,R,A,1,J2.5UT,1255
F57119,'',TH,USD,2022-09-12,ID2022/1529,R,A,1,J2.5UT,1255
F57042,'',ID,USD,2022-09-12,PT UNIVERSAL TRAKTOR,R,A,1,ERP30UX,804105
F58816,'',AU,AUD,2022-09-19,STOCKSEPT22-1,R,P,5,,
F28553,'',PH,USD,2022-06-02,TRK-2087-22,R,A,5,,
F27834,'',IN,USD,2022-06-01,'1200003714',R,A,2,MR16,
F28643,'',TH,USD,2022-06-03,TH2022/8271,R,A,5,H5.0UT,6065
F32973,'',BD,USD,2022-06-22,RFL34,R,A,5,,
F32974,'',BD,USD,2022-06-22,RFL35,R,A,5,,
F90209,'',MY,USD,2023-01-03,'3030033558-1',R,A,1,J3.0UT,11005
F90208,'',MY,USD,2023-01-03,'3030033558-2',R,A,5,H7.0UT6,11005
F90210,'',MY,USD,2023-01-03,'3030033559-1',R,A,3,T3.0UT,11005
F90219,'',MY,USD,2023-01-03,'3030033559-10',R,A,3,T3.0UT,11005
F90211,'',MY,USD,2023-01-03,'3030033559-2',R,A,3,T3.0UT,11005
F90212,'',MY,USD,2023-01-03,'3030033559-3',R,A,3,T3.0UT,11005
F90213,'',MY,USD,2023-01-03,'3030033559-4',R,A,3,T3.0UT,11005
F90214,'',MY,USD,2023-01-03,'3030033559-5',R,A,3,T3.0UT,11005
F90215,'',MY,USD,2023-01-03,'3030033559-6',R,A,3,T3.0UT,11005
F90216,'',MY,USD,2023-01-03,'3030033559-7',R,A,3,T3.0UT,11005
F90217,'',MY,USD,2023-01-03,'3030033559-8',R,A,3,T3.0UT,11005
F90218,'',MY,USD,2023-01-03,'3030033559-9',R,A,3,T3.0UT,11005
F90204,'',TH,USD,2023-01-03,TH2023/8422,R,A,5,,6065
F90205,'',TH,USD,2023-01-03,TH2023/8423,R,A,2,,6065
F90206,'',TH,USD,2023-01-03,TH2023/8424,R,A,2,,6065
F90207,'',TH,USD,2023-01-03,TH2023/8425,R,A,2,,6065
F90240,'',TH,USD,2023-01-04,TH2023/8426,R,A,5,H5.0UT,6065
F90372,'',TH,USD,2023-01-04,TH2023/8427,R,A,5,H3.5UT,6065
F90230,'',VN,USD,2023-01-04,Y-U-00123,R,A,3,MSL15WUX,17005
F90373,'',VN,USD,2023-01-04,Y-U-00223-1,R,A,3,MPC15,17005
F90382,'',VN,USD,2023-01-04,Y-U-00223-10,R,A,3,MPC15,17005
F90383,'',VN,USD,2023-01-04,Y-U-00223-11,R,A,3,MPC15,17005
F90384,'',VN,USD,2023-01-04,Y-U-00223-12,R,A,3,MPC15,17005
F90385,'',VN,USD,2023-01-04,Y-U-00223-13,R,A,3,MPC15,17005
F90386,'',VN,USD,2023-01-04,Y-U-00223-14,R,A,3,MPC15,17005
F90387,'',VN,USD,2023-01-04,Y-U-00223-15,R,A,3,MPC15,17005
F27830,'',PH,USD,2022-05-31,TRK-2088-22,R,A,1,FB25RZ,808065
F27228,'',IN,USD,2022-05-31,'1200003711/E',R,A,5,GP25UX,
F27227,'',IN,USD,2022-05-31,'1200003711/D',R,A,5,GP25UX,
F27226,'',IN,USD,2022-05-31,'1200003711/C',R,A,5,GP25UX,
F27225,'',IN,USD,2022-05-31,'1200003711/B',R,A,5,GP25UX,
F27224,'',IN,USD,2022-05-31,'1200003711',R,A,5,GP25UX,
F27082,'',IN,USD,2022-05-30,'1200003709/B',R,A,3,MSL15XUX,
F27081,'',IN,USD,2022-05-30,'1200003709',R,A,3,MS15XUX,
F27079,'',VN,USD,2022-05-30,'2122ST-MICHYG2',R,A,1,J2.0GX,16315
F27077,'',VN,USD,2022-05-30,'2022ST-MICHYG2',R,A,1,J2.0GX,16315
F27076,'',VN,USD,2022-05-30,'2122ST-MICHYG1',R,A,1,J2.0GX,16315
F27075,'',VN,USD,2022-05-30,'2022ST-MICHYG1',R,A,1,J2.0GX,16315
F27074,'',TH,USD,2022-05-30,ID2022/1498,R,A,5,,1255
F27073,'',TH,USD,2022-05-30,ID2022/1497,R,A,5,,1255
F27072,'',TH,USD,2022-05-30,ID2022/1496,R,A,5,,1255
F27068,'',KR,USD,2022-05-30,'22059YKT0530',R,A,2,MTC15,816405
F27067,'',KR,USD,2022-05-30,'22058YKT0530',R,A,2,MTC15,816405
F27016,'',TH,USD,2022-05-29,ID2022/1495,R,A,2,,1255
F27015,'',TH,USD,2022-05-29,ID2022/1494,R,A,5,H2.0UT,1255
F26735,'',IN,USD,2022-05-27,'1200003705',R,A,3,MS15UX,
F26573,'',IN,USD,2022-05-27,'1200003706/C',R,A,1,ERP35UX,
F26572,'',IN,USD,2022-05-27,'1200003706/B',R,A,1,ERP35UX,
F26571,'',IN,USD,2022-05-27,'1200003706',R,A,1,ERP35UX,
F26467,'',TH,USD,2022-05-27,TH2022/8270,R,A,5,,6065
F26466,'',TH,USD,2022-05-27,TH2022/8269,R,A,5,,6065
F26442,'',IN,USD,2022-05-27,'1200003697/P',R,A,3,MS15XUX,
F26441,'',IN,USD,2022-05-27,'1200003697/O',R,A,3,MS15XUX,
F26440,'',IN,USD,2022-05-27,'1200003697/M',R,A,3,MS15UX,
F26439,'',IN,USD,2022-05-27,'1200003697/L',R,A,3,MS15UX,
F26438,'',IN,USD,2022-05-27,'1200003697/J',R,A,3,MSL15WUX,
F26437,'',IN,USD,2022-05-27,'1200003697/H',R,A,3,MSL15WUX,
F26436,'',IN,USD,2022-05-27,'1200003697/G',R,A,3,MSL15WUX,
F26435,'',IN,USD,2022-05-27,'1200003697/E',R,A,3,MS15XUX,
F26434,'',IN,USD,2022-05-27,'1200003697/D',R,A,3,MS15XUX,
F26433,'',IN,USD,2022-05-27,'1200003697/C',R,A,3,MS15XUX,
F26432,'',IN,USD,2022-05-27,'1200003697/B',R,A,3,MS15XUX,
F26431,'',IN,USD,2022-05-27,'1200003697/N',R,A,3,MS15XUX,
F26430,'',IN,USD,2022-05-27,'1200003697/K',R,A,3,MS15UX,
F26429,'',IN,USD,2022-05-27,'1200003697/I',R,A,3,MSL15WUX,
F26428,'',IN,USD,2022-05-27,'1200003697/F',R,A,3,MSL15WUX,
F26427,'',IN,USD,2022-05-27,'1200003697',R,A,3,MS15XUX,
F25937,'',SG,USD,2022-05-24,HYS2022-076,R,A,3,P2.0UTE,5065
F24122,'',SG,USD,2022-05-15,BT0874,R,A,5,,
F24121,'',SG,USD,2022-05-15,BT0873,R,A,5,,
F26155,'',AU,AUD,2022-05-26,'102210',R,P,5,,
F26153,'',AU,AUD,2022-05-26,'102209',R,P,5,,
F26149,'',AU,AUD,2022-05-26,'102212',R,P,5,,
F26147,'',AU,AUD,2022-05-26,'102211',R,P,5,,
F26145,'',AU,AUD,2022-05-26,'102208',R,P,5,,
F26144,'',AU,AUD,2022-05-26,'102207',R,P,5,,
F25710,'',AU,AUD,2022-05-23,STOCKJAN22-2,R,P,5,,
F25709,'',AU,AUD,2022-05-23,STOCKJAN22-1,R,P,5,,
F25707,'',AU,AUD,2022-05-23,STOCKJAN22-10,R,P,5,,
F25706,'',AU,AUD,2022-05-23,STOCKJAN22-9,R,P,5,,
F25705,'',AU,AUD,2022-05-23,STOCKJAN22-8,R,P,5,,
F25704,'',AU,AUD,2022-05-23,STOCKJAN22-7,R,P,5,,
F25703,'',AU,AUD,2022-05-23,STOCKJAN22-6,R,P,5,,
F25702,'',AU,AUD,2022-05-23,STOCKJAN22-5,R,P,5,,
H19905,'',PH,USD,2023-04-04,'2023Hysphil#19',R,A,1,J3.0UT,12805
H19927,'',IN,USD,2023-04-05,'23-24/I003',R,A,2,OS030EF,
H20095,'',TH,USD,2023-04-06,TH2023/8509,R,A,5,,6065
H20121,'',TH,USD,2023-04-06,TH2023/8510,R,A,5,,6065
H20140,'',TH,USD,2023-04-07,TH2023/8511,R,A,2,,6065
H20238,'',TH,USD,2023-04-10,ID2023/1645,R,A,5,H3.0UT,1255
H20536,'',TW,USD,2023-04-11,YA-23Y005,R,A,3,MPC15,810265
H20537,'',TW,USD,2023-04-11,YA-23Y006,R,A,3,MPC15,810265
H20538,'',TW,USD,2023-04-11,YA-23Y007,R,A,3,MPC15,810265
H20539,'',TW,USD,2023-04-11,YA-23Y008,R,A,3,MPC15,810265
H20540,'',TW,USD,2023-04-11,YA-23Y009,R,A,3,MPC15,810265
H20541,'',TW,USD,2023-04-11,YA-23Y010,R,A,3,MPC15,810265
H20542,'',TW,USD,2023-04-11,YA-23Y011,R,A,3,MPC15,810265
H20543,'',TW,USD,2023-04-11,YA-23Y012,R,A,3,MPC15,810265
H20544,'',TW,USD,2023-04-11,YA-23Y013,R,A,3,MPC15,810265
H20545,'',TW,USD,2023-04-11,YA-23Y014,R,A,3,MPC15,810265
H20546,'',TW,USD,2023-04-11,YA-23Y015,R,A,3,MPC15,810265
H20547,'',TW,USD,2023-04-11,YA-23Y016,R,A,3,MPC15,810265
H20548,'',TW,USD,2023-04-11,YA-23Y017,R,A,3,MPC15,810265
H20549,'',TW,USD,2023-04-11,YA-23Y018,R,A,3,MPC15,810265
H20550,'',TW,USD,2023-04-11,YA-23Y019,R,A,3,MPC15,810265
H21751,'',SG,USD,2023-04-17,STOCKAPR-1,R,A,5,,
H21752,'',SG,USD,2023-04-17,STOCKAPR-2,R,A,5,,
F71494,'',TH,USD,2022-11-01,TH2022/8336,R,A,5,,6065
F71691,'',VN,USD,2022-11-01,Y-U-03822-A,R,A,5,,17005
F71692,'',VN,USD,2022-11-01,Y-U-03822-B,R,A,2,FBR18SZ,17005
F71693,'',VN,USD,2022-11-01,Y-U-03922-1,R,A,3,MP20XUX,17005
F71694,'',VN,USD,2022-11-01,Y-U-03922-2,R,A,3,MP20XUX,17005
F76493,'',SG,USD,2022-11-22,JIL-438,R,A,2,,
F77236,'',AU,AUD,2022-11-23,STOCKNOV22-10,R,P,5,,
F77237,'',AU,AUD,2022-11-23,STOCKNOV22-11,R,P,5,,
F77238,'',AU,AUD,2022-11-23,STOCKNOV22-12,R,P,5,,
F77228,'',AU,AUD,2022-11-23,STOCKNOV22-7,R,P,5,,
F77234,'',AU,AUD,2022-11-23,STOCKNOV22-8,R,P,5,,
F77235,'',AU,AUD,2022-11-23,STOCKNOV22-9,R,P,5,,
H10301,'',MY,USD,2023-03-01,'3030034482-1',R,A,2,R1.6 406,11005
H10302,'',ID,USD,2023-03-01,'065_804205',R,A,5,RS 45-31 CH,804205
H10390,'',PH,USD,2023-03-01,'2023Order#8',R,A,5,,12805
H10391,'',PH,USD,2023-03-01,'2023Order#9',R,A,5,,12805
H10392,'',PH,USD,2023-03-01,'2023Order#10',R,A,5,,12805
H10393,'',TW,USD,2023-03-01,YA-23Y004,R,A,2,FBR25SZ,810265
H10470,'',TH,USD,2023-03-02,ID2023/1644,R,A,2,N35ZDR3,1255
H10396,'',TH,USD,2023-03-02,TH2023/8466,R,A,5,H5.0UT,6065
H10827,'',TH,USD,2023-03-03,TH2023/8467,R,A,1,J3.0UT,6065
H10828,'',TH,USD,2023-03-03,TH2023/8468,R,A,1,J3.0UT,6065
H10829,'',TH,USD,2023-03-03,TH2023/8469,R,A,1,J3.0UT,6065
H10830,'',TH,USD,2023-03-03,TH2023/8470,R,A,1,J3.0UT,6065
H10831,'',TH,USD,2023-03-03,TH2023/8471,R,A,1,J3.0UT,6065
H10832,'',TH,USD,2023-03-03,TH2023/8472,R,A,1,J3.0UT,6065
H10833,'',TH,USD,2023-03-03,TH2023/8473,R,A,3,P2.0UTS,6065
H10834,'',TH,USD,2023-03-03,TH2023/8474,R,A,3,P2.0UTS,6065
H10835,'',TH,USD,2023-03-03,TH2023/8475,R,A,3,P2.0UTS,6065
H10836,'',TH,USD,2023-03-03,TH2023/8476,R,A,3,P2.0UTS,6065
H10837,'',TH,USD,2023-03-03,TH2023/8477,R,A,3,P2.0UTS,6065
H10838,'',TH,USD,2023-03-03,TH2023/8478,R,A,3,P2.0UTS,6065
H10839,'',TH,USD,2023-03-03,TH2023/8479,R,A,3,P2.0UTS,6065
H10840,'',TH,USD,2023-03-03,TH2023/8480,R,A,3,P2.0UTS,6065
H10841,'',TH,USD,2023-03-03,TH2023/8481,R,A,3,P2.0UTS,6065
H10842,'',TH,USD,2023-03-03,TH2023/8482,R,A,3,P2.0UTS,6065
H10843,'',TH,USD,2023-03-03,TH2023/8483,R,A,3,P2.0UTS,6065
H10844,'',TH,USD,2023-03-03,TH2023/8484,R,A,3,P2.0UTS,6065
H10846,'',SG,USD,2023-03-05,HYS2023-004,R,A,2,N35ZR3,5065
H10849,'',SG,USD,2023-03-05,HYS2023-005,R,A,2,N35ZR3,5065
H10847,'',SG,USD,2023-03-05,HYS2023-006,R,A,1,J1.8GX,5065
F39071,'',TH,USD,2022-07-04,TH2022/8282,R,A,5,,6065
F39072,'',TH,USD,2022-07-04,TH2022/8283,R,A,5,,6065
F49430,'',TH,USD,2022-08-07,PO2253604,R,A,1,,
F50581,'',PH,USD,2022-08-11,'2022Order#18',R,A,5,,
F47680,'',PH,USD,2022-08-01,TRK-2089-22,R,A,2,FBR20SZ,808065
F48371,'',MY,USD,2022-08-04,'3030031542-1',R,A,1,J1.8UT,11005
F48382,'',MY,USD,2022-08-04,'3030031542-10',R,A,1,J1.8UT,11005
F48383,'',MY,USD,2022-08-04,'3030031542-11',R,A,1,J1.8UT,11005
F48384,'',MY,USD,2022-08-04,'3030031542-12',R,A,1,J1.8UT,11005
F48372,'',MY,USD,2022-08-04,'3030031542-13',R,A,1,J3.0UT,11005
F48385,'',MY,USD,2022-08-04,'3030031542-14',R,A,1,J3.0UT,11005
F48386,'',MY,USD,2022-08-04,'3030031542-15',R,A,1,J3.0UT,11005
F48373,'',MY,USD,2022-08-04,'3030031542-16',R,A,3,P2.0UTS,11005
F48387,'',MY,USD,2022-08-04,'3030031542-17',R,A,3,P2.0UTS,11005
F48388,'',MY,USD,2022-08-04,'3030031542-18',R,A,3,P2.0UTS,11005
F48389,'',MY,USD,2022-08-04,'3030031542-19',R,A,3,P2.0UTS,11005
F48374,'',MY,USD,2022-08-04,'3030031542-2',R,A,1,J1.8UT,11005
F48390,'',MY,USD,2022-08-04,'3030031542-20',R,A,3,P2.0UTS,11005
F48391,'',MY,USD,2022-08-04,'3030031542-21',R,A,3,P2.0UTS,11005
F48392,'',MY,USD,2022-08-04,'3030031542-22',R,A,3,P2.0UTS,11005
F48393,'',MY,USD,2022-08-04,'3030031542-23',R,A,3,P2.0UTS,11005
F48020,'',AU,AUD,2022-08-02,STOCKJULY22-27,R,P,5,,
F64047,'',ID,USD,2022-10-03,'111',R,A,2,FBR15SZ,804105
F64052,'',ID,USD,2022-10-03,'112',R,A,2,FBR15SZ,804105
F64053,'',ID,USD,2022-10-03,'113',R,A,2,FBR15SZ,804105
F64048,'',ID,USD,2022-10-03,'114',R,A,5,GP70UX6,804105
F64054,'',ID,USD,2022-10-03,'115',R,A,5,GP70UX6,804105
F64049,'',ID,USD,2022-10-03,'116',R,A,1,ERP30UX,804105
F64055,'',ID,USD,2022-10-03,'117',R,A,1,ERP30UX,804105
F64050,'',ID,USD,2022-10-03,'118',R,A,5,,804105
F64051,'',ID,USD,2022-10-03,'119',R,A,5,,804105
F64071,'',TW,USD,2022-10-04,YA-22Y150,R,A,3,MP20KUX,810265
F64072,'',TW,USD,2022-10-04,YA-22Y151,R,A,3,MP20KUX,810265
F64073,'',TW,USD,2022-10-04,YA-22Y154,R,A,3,MP20KUX,810265
F64074,'',TW,USD,2022-10-04,YA-22Y155,R,A,3,MP20XUX,810265
F64313,'',LK,USD,2022-10-05,'2022_003',R,A,3,S1.6S,
F64820,'',KR,USD,2022-10-05,'22120YKT1006',R,A,2,MTC15,816405
F65238,'',TH,USD,2022-10-06,W2022/1695,R,A,5,H2.0UT,
F65421,'',VN,USD,2022-10-09,Y-U-03522-A1,R,A,1,ERP15UX,17005
F65424,'',VN,USD,2022-10-09,Y-U-03522-A2,R,A,1,ERP15UX,17005
F65425,'',VN,USD,2022-10-09,Y-U-03522-A3,R,A,1,ERP15UX,17005
F65426,'',VN,USD,2022-10-09,Y-U-03522-A4,R,A,1,ERP15UX,17005
F65422,'',VN,USD,2022-10-09,Y-U-03522-B1,R,A,2,FBR15SZ,17005
F65427,'',VN,USD,2022-10-09,Y-U-03522-B2,R,A,2,FBR15SZ,17005
F65428,'',VN,USD,2022-10-09,Y-U-03522-B3,R,A,2,FBR15SZ,17005
F65423,'',VN,USD,2022-10-09,Y-U-03522-C,R,A,2,MR16 961,17005
F66511,'',IN,USD,2022-10-12,'1200003905',R,A,1,ERP20UX,
F66512,'',IN,USD,2022-10-12,'1200003905/B',R,A,1,ERP20UX,
F66513,'',IN,USD,2022-10-12,'1200003905/C',R,A,1,ERP20UX,
F66514,'',IN,USD,2022-10-12,'1200003905/D',R,A,1,ERP20UX,
F66515,'',IN,USD,2022-10-12,'1200003905/E',R,A,1,ERP20UX,
H03212,'',TH,USD,2023-02-03,ID2023/1618,R,A,1,J3.0UT,1255
H03215,'',TH,USD,2023-02-03,ID2023/1619,R,A,1,J3.0UT,1255
H03216,'',TH,USD,2023-02-03,ID2023/1620,R,A,1,J3.0UT,1255
H03217,'',TH,USD,2023-02-03,ID2023/1621,R,A,1,J3.0UT,1255
H03218,'',TH,USD,2023-02-03,ID2023/1622,R,A,1,J3.0UT,1255
H03213,'',TH,USD,2023-02-03,ID2023/1623,R,A,1,J3.0UT,1255
H03219,'',TH,USD,2023-02-03,ID2023/1624,R,A,1,J3.0UT,1255
H03220,'',TH,USD,2023-02-03,ID2023/1625,R,A,1,J3.0UT,1255
H03221,'',TH,USD,2023-02-03,ID2023/1626,R,A,1,J3.0UT,1255
H03214,'',TH,USD,2023-02-03,ID2023/1627,R,A,1,J3.0UT,1255
H03222,'',TH,USD,2023-02-03,ID2023/1628,R,A,1,J3.0UT,1255
H03223,'',TH,USD,2023-02-03,ID2023/1629,R,A,1,J3.0UT,1255
H03224,'',TH,USD,2023-02-03,ID2023/1630,R,A,1,J3.0UT,1255
H03225,'',TH,USD,2023-02-03,ID2023/1631,R,A,1,J3.0UT,1255
H03226,'',TH,USD,2023-02-03,ID2023/1632,R,A,1,J3.0UT,1255
H03227,'',TH,USD,2023-02-03,ID2023/1633,R,A,1,J3.0UT,1255
H03228,'',TH,USD,2023-02-03,ID2023/1634,R,A,1,J3.0UT,1255
H03229,'',TH,USD,2023-02-03,ID2023/1635,R,A,1,J3.0UT,1255
H03230,'',TH,USD,2023-02-03,POI2300069,R,A,1,ERP25UX,814065
H03878,'',TH,USD,2023-02-03,TH2023/8441,R,A,2,N45ZR3,6065
H03879,'',TH,USD,2023-02-03,TH2023/8442,R,A,2,N45ZR3,6065
H04218,'',TH,USD,2023-02-07,ID2023/1636,R,A,1,J1.5UT,1255
H04214,'',TH,USD,2023-02-07,ID2023/1637,R,A,1,J2.5UT,1255
H04217,'',TH,USD,2023-02-07,ID2023/1638,R,A,1,J2.5UT,1255
H04215,'',TH,USD,2023-02-07,ID2023/1639,R,A,1,J2.5UT,1255
H04216,'',TH,USD,2023-02-07,ID2023/1640,R,A,1,J2.5UT,1255
H04219,'',TH,USD,2023-02-07,ID2023/1641,R,A,5,,1255
H04220,'',TH,USD,2023-02-07,ID2023/1642,R,A,5,,1255
H04221,'',TH,USD,2023-02-07,ID2023/1643,R,A,5,,1255
H04222,'',MY,USD,2023-02-07,PK/6090/23,R,A,2,MR16 961,806565
H04049,'',TH,USD,2023-02-07,TH2023/8443,R,A,5,H5.0UT,6065
H04232,'',IN,USD,2023-02-08,EMLT/22-23/I0014,R,A,3,MPC15,
H04233,'',IN,USD,2023-02-08,EMLT/22-23/I0014-02,R,A,3,MPC15,
H04234,'',IN,USD,2023-02-08,EMLT/22-23/I0014-03,R,A,3,MPC15,
H04235,'',IN,USD,2023-02-08,EMLT/22-23/I0014-04,R,A,3,MPC15,
H04236,'',IN,USD,2023-02-08,EMLT/22-23/I0014-05,R,A,3,MPC15,
H04237,'',IN,USD,2023-02-08,EMLT/22-23/I0014-06,R,A,3,MPC15,
H04238,'',IN,USD,2023-02-08,EMLT/22-23/I0014-07,R,A,3,MPC15,
H04239,'',IN,USD,2023-02-08,EMLT/22-23/I0014-08,R,A,3,MPC15,
H04240,'',IN,USD,2023-02-08,EMLT/22-23/I0014-09,R,A,3,MPC15,
H04241,'',IN,USD,2023-02-08,EMLT/22-23/I0014-10,R,A,3,MPC15,
H04242,'',IN,USD,2023-02-08,EMLT/22-23/I0014-11,R,A,3,MPC15,
H04243,'',IN,USD,2023-02-08,EMLT/22-23/I0014-12,R,A,3,MPC15,
H04244,'',IN,USD,2023-02-08,EMLT/22-23/I0014-13,R,A,3,MPC15,
H04245,'',IN,USD,2023-02-08,EMLT/22-23/I0014-14,R,A,3,MPC15,
H04246,'',IN,USD,2023-02-08,EMLT/22-23/I0014-15,R,A,3,MPC15,
H04247,'',IN,USD,2023-02-08,EMLT/22-23/I0014-16,R,A,3,MPC15,
H04248,'',IN,USD,2023-02-08,EMLT/22-23/I0014-17,R,A,3,MPC15,
H04249,'',IN,USD,2023-02-08,EMLT/22-23/I0014-18,R,A,3,MPC15,
H04250,'',IN,USD,2023-02-08,EMLT/22-23/I0014-19,R,A,3,MPC15,
H04251,'',IN,USD,2023-02-08,EMLT/22-23/I0014-20,R,A,3,MPC15,
H04252,'',IN,USD,2023-02-08,EMLT/22-23/I0014-21,R,A,3,MPC15,
