'model','brand','line','plant','quote_reference','remarks','meta_series_series'
MPB045VH,Yale,#1,Ramos,'2023-965039','','245'
K1.0H,Hyster,#3,Masate,'2023-963791','','460'
MO10S,Yale,#3,Masate,'2023-964935','','865'
K1.0M,Hyster,#2,Masate,'2023-963791','','460'
MO10,Yale,#2,Masate,'2023-964935','','865'
C1.0,Hyster,#4,Masate,'2023-963791','','463'
MTC10,Yale,#4,Masate,'2023-964935','','868'
MTC13,Yale,#6,Masate,'2023-964935','','869'
C1.3L,Hyster,#10,Masate,'2023-963791',long wheel brace,'463'
C1.5L,Hyster,#12,Masate,'2023-963791',long wheel brace,'464'
MTC15,Yale,#7,Masate,'2023-964935',Short wheel brace,'869'
C1.5M,Hyster,#11,Masate,'2023-963791',medium wheel brace,'464'
C1.5S,Hyster,#7,Masate,'2023-963791',Short wheel brace,'464'
W80Z,Hyster,#2,Greenville,'2023-963791','','234'
MPW080-E,Yale,#2,Greenville,'2023-959750','','891'
W25ZA2,Hyster,#4,Greenville,'',No PB option in NOVO for Serial B495 ,'495'
MSW025-F,Yale,#4,Greenville,'2023-959750',No PB option in NOVO for Serial B495 ,'895'
W30ZA2,Hyster,#5,Greenville,'',No PB option in NOVO for Serial B495 ,'495'
MSW030-F,Yale,#5,Greenville,'2023-959750',No PB option in NOVO for Serial B495 ,'895'
W60Z,Hyster,#1,Greenville,'','','231'
MPW060-E,Yale,#1,Greenville,'2023-959750','','897'
R2.00EX 2,Hyster,#1,SN,'',Master sheet std not set,'925'
FBR20SZ,Yale,#1,SN,'2023-972690',Master sheet std not set,'224'
R2.50EX 2,Hyster,#2,SN,'',Master sheet std not set,'925'
FBR25SZ,Yale,#2,SN,'2023-972690',Master sheet std not set,'224'
R3.00EX 2,Hyster,#3,SN,'',Master sheet std not set,'925'
FBR30SZ,Yale,#3,SN,'2023-972690',Master sheet std not set,'224'
B80ZHD2,Hyster,#5,Ramos,'','','257'
MPE080-VH,Yale,#5,Ramos,'2023-965039','','287'
B60ZHD2,Hyster,#6,Romas,'','','262'
MPE060-VH,Yale,#6,Romas,'2023-965039','','292'
N30ZDRS3,Hyster,#5,Greenville,'','','265'
NDR030DC,Yale,#5,Greenville,'2023-959213','','295'
N35ZRS3,Hyster,#6,Greenville,'','','265'
NR035DC,Yale,#6,Greenville,'2023-959213','','295'
N40ZRS3,Hyster,#7,Greenville,'','','265'
NR040DC,Yale,#7,Greenville,'2023-959213','','295'
RP2.0N,Hyster,#8,Masate,'','','449'
MP20T,Yale,#8,Masate,'2023-964935','','854'
RP2.5N,Hyster,#9,Masate,'','','449'
MP25T,Yale,#9,Masate,'2023-964935','','854'
S1.0C,Hyster,#8,Masate,'','','447'
MC10,Yale,#8,Masate,'2023-964976','','860'
S1.2C,Hyster,#9,Masate,'','','447'
MC12,Yale,#9,Masate,'2023-964976','','860'
S1.5C,Hyster,#10,Masate,'','','447'
MC15,Yale,#10,Masate,'2023-964976','','860'
K1.0L AC,Hyster,#1,Masate,'','','457'
MO10E AC,Yale,#1,Masate,'2023-964935','','862'
J1.5GX,Hyster,#1,SN,'',Master sheet std not set,'225'
FB15RZ,Yale,#1,SN,'2023-965396',Master sheet std not set,'881'
J1.8GX,Hyster,#2,SN,'',Master sheet std not set,'225'
FB18RZ,Yale,#2,SN,'2023-965396',Master sheet std not set,'881'
J2.0GX,Hyster,#4,SN,'',Master sheet std not set,'225'
FB20RZ,Yale,#4,SN,'2023-965396',Master sheet std not set,'881'
J2.0GXS,Hyster,#3,SN,'2023-964418',Master sheet std not set,'225'
FB20SRZ,Yale,#3,SN,'2023-965396',Master sheet std not set,'881'
J2.5GX,Hyster,#5,SN,'2023-964418',Master sheet std not set,'225'
FB25RZ,Yale,#5,SN,'2023-965396',Master sheet std not set,'881'
J3.0GX,Hyster,#6,SN,'2023-964418',Master sheet std not set,'225'
FB30RZ,Yale,#6,SN,'2023-965396',Master sheet std not set,'881'
J3.5GXS,Hyster,#7,SN,'2023-964418',Master sheet std not set,'225'
FB35SRZ,Yale,#7,SN,'2023-965396',Master sheet std not set,'881'
E30HSD3,Hyster,#5,Greenville,'2023-964418',No PB option in NOVO,'219'
ESC030AD,Yale,#5,Greenville,'2023-958042',No PB option in NOVO,'883'
E35HSD3,Hyster,#6,Greenville,'2023-964418',No PB option in NOVO,'219'
ESC035AD,Yale,#6,Greenville,'2023-958042',No PB option in NOVO,'883'
E40HSD3,Hyster,#7,Greenville,'2023-964418',No PB option in NOVO,'219'
ESC040AD,Yale,#7,Greenville,'2023-958042',No PB option in NOVO,'883'
R1.25EX 2,Hyster,#4,SN,'2023-964418',Master sheet std not set,'915'
FBR13SZ,Yale,#4,SN,'2023-972690',Master sheet std not set,'900'
R1.50EX 2,Hyster,#5,SN,'2023-964418',Master sheet std not set,'915'
FBR15SZ,Yale,#5,SN,'2023-972690',Master sheet std not set,'900'
R1.50EX W2,Hyster,#6,SN,'2023-964418',Master sheet std not set,'915'
FBR15WZ,Yale,#6,SN,'2023-972690',Master sheet std not set,'900'
R1.80EX 2,Hyster,#7,SN,'2023-964418',Master sheet std not set,'915'
FBR18SZ,Yale,#7,SN,'2023-972690',Master sheet std not set,'900'
R1.80EX W2,Hyster,#8,SN,'2023-964418',Master sheet std not set,'915'
FBR18WZ,Yale,#8,SN,'2023-972690',Master sheet std not set,'900'
T7ZAC,Hyster,#2,Ramos,'2023-964458','','477'
MTR007-F,Yale,#2,Ramos,'2023-965039','','903'
R30XMS3,Hyster,#3,Greenville,'2023-964458','','174'
OS030EF,Yale,#3,Greenville,'2023-959213','','801'
H1.6FT,Hyster,#6,Craigavon,'2023-964458','Std is Yammar engine, no PB option in NOVO, LPG engine is for china region','001'
GP16VX,Yale,#6,Craigavon,'2023-963819','Std is Yammar engine, no PB option in NOVO, LPG engine is for china region','810'
H1.8FT,Hyster,#7,Craigavon,'2023-964458','Std is Yammar engine, no PB option in NOVO, LPG engine is for china region','001'
GP18VX,Yale,#7,Craigavon,'2023-963819','Std is Yammar engine, no PB option in NOVO, LPG engine is for china region','810'
H2.0FTS,Hyster,#8,Craigavon,'2023-964458','Std is Yammar engine, no PB option in NOVO, LPG engine is for china region','001'
GP20SVX,Yale,#8,Craigavon,'2023-963819','Std is Yammar engine, no PB option in NOVO, LPG engine is for china region','810'
W25ZC,Hyster,#8,Greenville,'2023-964474','','454'
MCW025-E,Yale,#8,Greenville,'2023-959750','','819'
W30ZC,Hyster,#9,Greenville,'2023-964474','','454'
MCW030-E,Yale,#9,Greenville,'2023-959750','','819'
W40ZC,Hyster,#10,Greenville,'2023-964474','','454'
MCW040-E,Yale,#10,Greenville,'2023-959750','','819'
W40ZA,Hyster,#3,Greenville,'2023-964474',No PB option in NOVO,'453'
MSW040-E,Yale,#3,Greenville,'2023-959750',No PB option in NOVO,'820'
W20ZR,Hyster,#6,Greenville,'2023-964474','','455'
MRW020-E,Yale,#6,Greenville,'2023-959750','','821'
W30ZR,Hyster,#7,Greenville,'2023-964474','','455'
MRW030-E,Yale,#7,Greenville,'2023-959750','','821'
S1.2S,Hyster,#4,Masate,'2023-964474','','442'
MS12X,Yale,#4,Masate,'2023-964982','','847'
S1.4S,Hyster,#5,Masate,'2023-964474','','442'
MS14X,Yale,#5,Masate,'2023-964982','','847'
S1.6S,Hyster,#6,Masate,'2023-964474','','442'
MS16X,Yale,#6,Masate,'2023-964982','','847'
S2.0S,Hyster,#7,Masate,'2023-964498','','442'
MS20X,Yale,#7,Masate,'2023-964982','','847'
R1.4,Hyster,#4,Masate,'2023-964498','','435'
MR14,Yale,#4,Masate,'2023-964947','','849'
R1.6,Hyster,#5,Masate,'2023-964498','','435'
MR16,Yale,#5,Masate,'2023-964947','','849'
R1.6HD,Hyster,#8,Masate,'2023-964498','','435'
MR16HD,Yale,#8,Masate,'2023-964947','','849'
R1.6N,Hyster,#10,Masate,'2023-964511','','435'
MR16N,Yale,#10,Masate,'2023-964947','','849'
R2.0,Hyster,#6,Masate,'2023-964511','','435'
MR20,Yale,#6,Masate,'2023-964947','','849'
R2.0HD,Hyster,#9,Masate,'2023-964511','','435'
MR20HD,Yale,#9,Masate,'2023-964947','','849'
R2.5,Hyster,#7,Masate,'2023-964511','','435'
MR25,Yale,#7,Masate,'2023-964947','','849'
S1.0,Hyster,#1,Masate,'','','456'
MS10,Yale,#1,Masate,'2023-964988','','852'
S1.2,Hyster,#2,Masate,'','','456'
MS12,Yale,#2,Masate,'2023-964988','','852'
S1.4,Hyster,#3,Masate,'','','456'
MS14,Yale,#3,Masate,'2023-964988','','852'
S1.6,Hyster,#4,Masate,'','','456'
MS16,Yale,#4,Masate,'2023-964988','','852'
S2.0,Hyster,#5,Masate,'2023-965392','','456'
MS20,Yale,#5,Masate,'2023-964988','','852'
H2.0XT -AD,Hyster,#3,SN,'2023-965392',Master sheet std not set,'466'
GDP20MX -AD,Yale,#3,SN,'2023-972696',Master sheet std not set,'871'
H2.0XT -AG,Hyster,#2,SN,'2023-965392',Master sheet std not set,'466'
GP 20MX -AG,Yale,#2,SN,'2023-972696',Master sheet std not set,'871'
H2.0XT -AL,Hyster,#1,SN,'2023-965392',Master sheet std not set,'466'
GLP20MX -AL,Yale,#1,SN,'2023-972696',Master sheet std not set,'871'
H2.0XT -AT,Hyster,#4,SN,'2023-965392',Master sheet std not set,'466'
GTP20MX -AT,Yale,#4,SN,'2023-972696',Master sheet std not set,'871'
H2.0XT -BLE,Hyster,#5,SN,'2023-965392',Master sheet std not set,'466'
GLP20MX -BLE,Yale,#5,SN,'2023-972696',Master sheet std not set,'871'
H2.5XT -AD,Hyster,#8,SN,'2023-965392',Master sheet std not set,'466'
GDP25MX -AD,Yale,#8,SN,'2023-972696',Master sheet std not set,'871'
H2.5XT -AG,Hyster,#7,SN,'2023-965392',Master sheet std not set,'466'
GP 25MX -AG,Yale,#7,SN,'2023-972696',Master sheet std not set,'871'
H2.5XT -AL,Hyster,#6,SN,'2023-965392',Master sheet std not set,'466'
GLP25MX -AL,Yale,#6,SN,'2023-972696',Master sheet std not set,'871'
H2.5XT -AT,Hyster,#9,SN,'2023-965392',Master sheet std not set,'466'
GTP25MX -BT,Yale,#9,SN,'2023-972696',Master sheet std not set,'871'
H2.5XT -BLE,Hyster,#10,SN,'2023-965393',Master sheet std not set,'466'
GLP25MX -BLE,Yale,#10,SN,'2023-972696',Master sheet std not set,'871'
H3.0XT -BD,Hyster,#3,SN,'2023-965393',Master sheet std not set,'466'
