'model','brand','line','plant','quote_reference','remarks','meta_series_series'
GC100VXBCS,Yale,#6,Berea,'2023-965042','','818'
S120FT,Hyster,#7,Berea,'2023-972047','','004'
GC120SVX,Yale,#7,Berea,'2023-965042','','818'
S120FTPRS,Hyster,#8,Berea,'2023-972047','','004'
GC120VX,Yale,#8,Berea,'2023-965042','','818'
S80FTBCS,Hyster,#4,Berea,'2023-972055','','004'
GC080VXBCS,Yale,#4,Berea,'2023-965042','','818'
S135FT,Hyster,#1,Berea,'2023-972055','','024'
GC135VX,Yale,#1,Berea,'2023-965042','','879'
S155FT,Hyster,#2,Berea,'2023-972055','','024'
GC155VX,Yale,#2,Berea,'2023-965042','','879'
H135FT,Hyster,#4,Berea,'2023-972055','','006'
GP135VX,Yale,#4,Berea,'2023-965047','','878'
H155FT,Hyster,#5,Berea,'2023-972055','','006'
GP155VX,Yale,#5,Berea,'2023-965047','','878'
H155FTS,Hyster,#6,Berea,'2023-972055','','006'
GP155SVX,Yale,#6,Berea,'2023-965047','','878'
H170FTS,Hyster,#7,Berea,'2023-972055','','006'
GP170SVX,Yale,#7,Berea,'2023-965047','','878'
H13XD6_N019,Hyster,'1',Nijmegen,'2023-972079','Serial not set up in NOVO system, PB still active','019'
GDP13E_J877,Yale,'',Nijmegen,'','Serial not set up in NOVO system, PB still active','877'
H4.0FT5,Hyster,#1,Craigavon,'2023-972079','','005'
GP40VX5,Yale,#1,Craigavon,'2023-963824','','813'
H4.0FT6,Hyster,#2,Craigavon,'2023-972079','','005'
GP40VX6,Yale,#2,Craigavon,'2023-963824','','813'
H4.5FT6,Hyster,#4,Craigavon,'2023-972119','','005'
GP45VX6,Yale,#4,Craigavon,'2023-963824','','813'
H4.5FTS5,Hyster,#3,Craigavon,'2023-972119','','005'
GP45SVX5,Yale,#3,Craigavon,'2023-963824','','813'
H5.0FT,Hyster,#5,Craigavon,'2023-972119','','005'
GP50VX,Yale,#5,Craigavon,'2023-963824','','813'
H5.5FT,Hyster,#6,Craigavon,'2023-972119','','005'
GP55VX,Yale,#6,Craigavon,'2023-963824','','813'
H10XD6,Hyster,#3,Nijmegen,'2023-972119','Yale serial unable to create quote in NOVO System, PB still active','007'
