'order_no','aopmargin_percentage','booking_margin_percentage_after_sur_charge','ctry_code','date','dealer_name','dealer_net','dealer_net_after_sur_charge','margin_after_sur_charge','margin_percentage_after_sur_charge','model','netrevenue','quantity','serial_number','series','total_cost','currency','product_dimension','region'
E63461,0.0,0.0,AU,2023-01-31,ADAPT-A-LIFT GROUP,0.0,0.0,0.0,NaN,H2.5UT,0.0,0,A3C1A12222W,,0.0,,,
E80796,0.0,0.0,AU,2023-01-31,ADAPT-A-LIFT GROUP,0.0,0.0,0.0,NaN,H3.5UT,0.0,0,A3C1A12232W,,0.0,,,
E80797,0.0,0.0,AU,2023-01-31,ADAPT-A-LIFT GROUP,0.0,0.0,0.0,NaN,H3.5UT,0.0,0,A3C1A12233W,,0.0,,,
E80801,0.0,0.0,AU,2023-01-31,ADAPT-A-LIFT GROUP,0.0,0.0,0.0,NaN,H3.5UT,0.0,0,A3C1A12234W,,0.0,,,
E78980,0.0,0.0,AU,2023-02-01,ADAPT-A-LIFT GROUP,0.0,0.0,0.0,NaN,R1.6,0.0,0,D435T08804W,,0.0,,,
E78281,0.0,0.0,AU,2023-02-01,ADAPT-A-LIFT GROUP,0.0,0.0,0.0,NaN,MR16,0.0,0,D849T07695W,,0.0,,,
F00448,0.0,0.0,AU,2023-02-01,ADAPT-A-LIFT GROUP,0.0,0.0,0.0,NaN,R1.6,0.0,0,D435T08901W,,0.0,,,
F00453,0.0,0.0,AU,2023-02-01,ADAPT-A-LIFT GROUP,0.0,0.0,0.0,NaN,R1.6,0.0,0,D435T08898W,,0.0,,,
F00438,0.0,0.0,AU,2023-02-01,ADAPT-A-LIFT GROUP,0.0,0.0,0.0,NaN,R1.6,0.0,0,D435T08907W,,0.0,,,
F00458,0.0,0.0,AU,2023-02-01,ADAPT-A-LIFT GROUP,0.0,0.0,0.0,NaN,R1.6,0.0,0,D435T08919W,,0.0,,,
E80717,0.0,0.0,AU,2023-02-01,ADAPT-A-LIFT GROUP,0.0,0.0,0.0,NaN,GP35UX,0.0,0,A7S1A06944W,,0.0,,,
