'id','date','rate','from_currency','to_currency'
3116,2023-09-01,1.823697996,RUB,JPY
3117,2023-09-01,30.35748586,PLN,JPY
3118,2023-09-01,3.857146731,THB,JPY
3119,2023-09-01,30.19572878,MYR,JPY
3120,2023-09-01,4.342288591,TWD,JPY
3121,2023-09-01,5.87987268,CZK,JPY
3122,2023-09-01,28.7394177,RON,JPY
3123,2023-09-01,0.1053489164,KRW,JPY
3124,2023-09-01,0.3653272865,LKR,JPY
3125,2023-09-01,0.005649905571,VND,JPY
3126,2023-09-01,7.4365,EUR,DKK
3127,2023-09-01,8.398175022,GBP,DKK
3128,2023-09-01,6.983284815,USD,DKK
3129,2023-09-01,0.05228135546,JPY,DKK
3130,2023-09-01,1.0,DKK,DKK
3131,2023-09-01,4.689135507,AUD,DKK
3132,2023-09-01,5.137478411,CAD,DKK
3133,2023-09-01,7.557418699,CHF,DKK
3134,2023-09-01,0.6664724861,SEK,DKK
3135,2023-09-01,0.7048815166,NOK,DKK
3136,2023-09-01,0.4086730011,ZAR,DKK
3137,2023-09-01,1.343516829,BRL,DKK
3138,2023-09-01,0.3601036269,MXN,DKK
3139,2023-09-01,0.8960286286,HKD,DKK
3140,2023-09-01,5.17862117,SGD,DKK
3141,2023-09-01,1.002886003,CNY,DKK
3142,2023-09-01,4.403683307,NZD,DKK
3143,2023-09-01,0.08428586811,INR,DKK
3144,2023-09-01,1.900882639,AED,DKK
3145,2023-09-01,18.56664919,BHD,DKK
3146,2023-09-01,1.861535689,SAR,DKK
3147,2023-09-01,0.0953454032,RUB,DKK
3148,2023-09-01,1.587130509,PLN,DKK
3149,2023-09-01,0.2016568593,THB,DKK
3150,2023-09-01,1.57867363,MYR,DKK
3151,2023-09-01,0.2270207333,TWD,DKK
3152,2023-09-01,0.3074077136,CZK,DKK
3153,2023-09-01,1.502535712,RON,DKK
3154,2023-09-01,0.005507784147,KRW,DKK
3155,2023-09-01,0.01909980572,LKR,DKK
3156,2023-09-01,0.0002953847215,VND,DKK
3157,2023-09-01,1.5859,EUR,AUD
3158,2023-09-01,1.790985782,GBP,AUD
3159,2023-09-01,1.489247817,USD,AUD
3160,2023-09-01,0.01114946569,JPY,AUD
3161,2023-09-01,0.2132589256,DKK,AUD
3162,2023-09-01,1.0,AUD,AUD
3163,2023-09-01,1.095613126,CAD,AUD
3164,2023-09-01,1.611686992,CHF,AUD
3165,2023-09-01,0.1421312063,SEK,AUD
3166,2023-09-01,0.1503222749,NOK,AUD
3167,2023-09-01,0.08715316513,ZAR,AUD
3168,2023-09-01,0.2865169554,BRL,AUD
3169,2023-09-01,0.07679531258,MXN,AUD
3170,2023-09-01,0.1910861026,HKD,AUD
3171,2023-09-01,1.104387187,SGD,AUD
3172,2023-09-01,0.2138743914,CNY,AUD
3173,2023-09-01,0.9391247705,NZD,AUD
3174,2023-09-01,0.01797471367,INR,AUD
3175,2023-09-01,0.4053801893,AED,AUD
3176,2023-09-01,3.959503658,BHD,AUD
3177,2023-09-01,0.3969891009,SAR,AUD
3178,2023-09-01,0.02033325824,RUB,AUD
3179,2023-09-01,0.3384697471,PLN,AUD
3180,2023-09-01,0.04300512515,THB,AUD
3181,2023-09-01,0.3366662421,MYR,AUD
3182,2023-09-01,0.04841419767,TWD,AUD
3183,2023-09-01,0.06555743872,CZK,AUD
3184,2023-09-01,0.3204291516,RON,AUD
3185,2023-09-01,0.00117458413,KRW,AUD
3186,2023-09-01,0.004073204047,LKR,AUD
3187,2023-09-01,0.00006299342833,VND,AUD
3188,2023-09-01,1.4475,EUR,CAD
3189,2023-09-01,1.634688139,GBP,CAD
3190,2023-09-01,1.359282562,USD,CAD
3191,2023-09-01,0.01017646232,JPY,CAD
3192,2023-09-01,0.1946480199,DKK,CAD
3193,2023-09-01,0.9127309414,AUD,CAD
3194,2023-09-01,1.0,CAD,CAD
3195,2023-09-01,1.471036585,CHF,CAD
3196,2023-09-01,0.1297275497,SEK,CAD
3197,2023-09-01,0.1372037915,NOK,CAD
3198,2023-09-01,0.07954739046,ZAR,CAD
3199,2023-09-01,0.2615128905,BRL,CAD
3200,2023-09-01,0.07009345794,MXN,CAD
3201,2023-09-01,0.1744101983,HKD,CAD
3202,2023-09-01,1.008008357,SGD,CAD
3203,2023-09-01,0.1952097746,CNY,CAD
3204,2023-09-01,0.8571682359,NZD,CAD
3205,2023-09-01,0.01640607733,INR,CAD
3206,2023-09-01,0.3700030418,AED,CAD
3207,2023-09-01,3.613961501,BHD,CAD
3208,2023-09-01,0.3623442358,SAR,CAD
3209,2023-09-01,0.01855879394,RUB,CAD
3210,2023-09-01,0.3089318109,PLN,CAD
3211,2023-09-01,0.03925210836,THB,CAD
3212,2023-09-01,0.3072856961,MYR,CAD
3213,2023-09-01,0.04418913622,TWD,CAD
3214,2023-09-01,0.05983630276,CZK,CAD
3215,2023-09-01,0.2924656012,RON,CAD
3216,2023-09-01,0.001072079278,KRW,CAD
3217,2023-09-01,0.003717739365,LKR,CAD
3218,2023-09-01,0.00005749605114,VND,CAD
3219,2023-09-01,0.984,EUR,CHF
3220,2023-09-01,1.111249139,GBP,CHF
3221,2023-09-01,0.9240304254,USD,CHF
3222,2023-09-01,0.006917885264,JPY,CHF
3223,2023-09-01,0.132320312,DKK,CHF
3224,2023-09-01,0.6204678731,AUD,CHF
3225,2023-09-01,0.6797927461,CAD,CHF
3226,2023-09-01,1.0,CHF,CHF
3227,2023-09-01,0.08818784728,SEK,CHF
3228,2023-09-01,0.09327014218,NOK,CHF
3229,2023-09-01,0.05407573901,ZAR,CHF
3230,2023-09-01,0.177774566,BRL,CHF
3231,2023-09-01,0.04764902426,MXN,CHF
3232,2023-09-01,0.1185627877,HKD,CHF
3233,2023-09-01,0.6852367688,SGD,CHF
3234,2023-09-01,0.1327021888,CNY,CHF
3235,2023-09-01,0.582696749,NZD,CHF
3236,2023-09-01,0.01115273236,INR,CHF
3237,2023-09-01,0.2515253839,AED,CHF
3238,2023-09-01,2.456744813,BHD,CHF
3239,2023-09-01,0.2463189831,SAR,CHF
3240,2023-09-01,0.0126161335,RUB,CHF
3241,2023-09-01,0.2100096041,PLN,CHF
3242,2023-09-01,0.02668329853,THB,CHF
3243,2023-09-01,0.2088905872,MYR,CHF
3244,2023-09-01,0.03003945426,TWD,CHF
3245,2023-09-01,0.04067628457,CZK,CHF
3246,2023-09-01,0.1988159942,RON,CHF
3247,2023-09-01,0.0007287917167,KRW,CHF
3248,2023-09-01,0.002527292252,LKR,CHF
3249,2023-09-01,0.0000390853985,VND,CHF
3250,2023-09-01,11.158,EUR,SEK
3251,2023-09-01,12.60093282,GBP,SEK
3252,2023-09-01,10.47797915,USD,SEK
3253,2023-09-01,0.07844488189,JPY,SEK
3254,2023-09-01,1.500437034,DKK,SEK
3255,2023-09-01,7.03575257,AUD,SEK
3256,2023-09-01,7.708462867,CAD,SEK
3257,2023-09-01,11.33943089,CHF,SEK
3258,2023-09-01,1.0,SEK,SEK
3259,2023-09-01,1.057630332,NOK,SEK
3260,2023-09-01,0.6131881055,ZAR,SEK
3261,2023-09-01,2.015862405,BRL,SEK
3262,2023-09-01,0.5403128178,MXN,SEK
3263,2023-09-01,1.344434537,HKD,SEK
3264,2023-09-01,7.770194986,SGD,SEK
3265,2023-09-01,1.504767299,CNY,SEK
3266,2023-09-01,6.607449517,NZD,SEK
3267,2023-09-01,0.1264656379,INR,SEK
3268,2023-09-01,2.852154709,AED,SEK
3269,2023-09-01,27.85808803,BHD,SEK
3270,2023-09-01,2.793117087,SAR,SEK
3271,2023-09-01,0.1430597739,RUB,SEK
3272,2023-09-01,2.381389393,PLN,SEK
3273,2023-09-01,0.3025734197,THB,SEK
3274,2023-09-01,2.368700378,MYR,SEK
3275,2023-09-01,0.3406303157,TWD,SEK
3276,2023-09-01,0.4612459179,CZK,SEK
3277,2023-09-01,2.254460227,RON,SEK
3278,2023-09-01,0.008264083307,KRW,SEK
3279,2023-09-01,0.02865805584,LKR,SEK
3280,2023-09-01,0.0004432061752,VND,SEK
3281,2023-09-01,10.55,EUR,NOK
3282,2023-09-01,11.91430733,GBP,NOK
3283,2023-09-01,9.907033524,USD,NOK
3284,2023-09-01,0.0741704162,JPY,NOK
3285,2023-09-01,1.418678142,DKK,NOK
3286,2023-09-01,6.652374046,AUD,NOK
3287,2023-09-01,7.288428325,CAD,NOK
3288,2023-09-01,10.72154472,CHF,NOK
3289,2023-09-01,0.945509948,SEK,NOK
3290,2023-09-01,1.0,NOK,NOK
3291,2023-09-01,0.5797754538,ZAR,NOK
3292,2023-09-01,1.906017958,BRL,NOK
3293,2023-09-01,0.5108711443,MXN,NOK
3294,2023-09-01,1.27117623,HKD,NOK
3295,2023-09-01,7.346796657,SGD,NOK
3296,2023-09-01,1.422772451,CNY,NOK
3297,2023-09-01,6.24740925,NZD,NOK
3298,2023-09-01,0.1195745187,INR,NOK
3299,2023-09-01,2.69674065,AED,NOK
3300,2023-09-01,26.34009937,BHD,NOK
